"filename", "language", "JavaScript JSX", "JSON with Comments", "JavaScript", "Shell Script", "YAML", "TypeScript", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-handles-switch-checkbox-state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-asterisk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-container.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-sections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-wrapper-elements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 8, 54
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-wrapper-order.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 4, 31
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/inputs/it-supports-input-wrapper-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/it-supports-system-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 44, 16, 137
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/patch-console-error.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 6, 22
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/queries/index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/queries/input-wrapper.queries.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/render.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 563, 94, 715
